name,category,count,codes
中证红利,0,100,"['000090', '000157', '000408', '000429', '000651', '000672', '000895', '000933', '000983', '002043', '002154', '002233', '002267', '002416', '002540', '002563', '002572', '002601', '002737', '002756', '002867', '301109', '600012', '600015', '600016', '600028', '600036', '600039', '600057', '600064', '600096', '600123', '600153', '600177', '600188', '600256', '600273', '600282', '600295', '600348', '600350', '600373', '600398', '600461', '600502', '600546', '600585', '600729', '600737', '600741', '600755', '600757', '600901', '600919', '600938', '600971', '600985', '600997', '601000', '601001', '601006', '601009', '601019', '601077', '601088', '601098', '601101', '601166', '601168', '601169', '601187', '601216', '601225', '601229', '601288', '601318', '601328', '601398', '601598', '601658', '601666', '601668', '601699', '601717', '601818', '601825', '601838', '601857', '601916', '601919', '601928', '601939', '601963', '601988', '601997', '601998', '603565', '603706', '603967', '920599']"
中证回购,0,100,"['000039', '000333', '000404', '000425', '000521', '000526', '000550', '000703', '000739', '000848', '000957', '001212', '001215', '001266', '002062', '002119', '002135', '002145', '002216', '002228', '002241', '002352', '002419', '002432', '002443', '002481', '002511', '002565', '002570', '002589', '002602', '002615', '002637', '002787', '002845', '002847', '002870', '002928', '002947', '002960', '002988', '003000', '003010', '300286', '300298', '300492', '300501', '300568', '300592', '300673', '300703', '300802', '300834', '300863', '301087', '301093', '301099', '301109', '301127', '301188', '301197', '301229', '301265', '301589', '600057', '600059', '600177', '600211', '600216', '600252', '600273', '600325', '600351', '600711', '600731', '600810', '601021', '601222', '601609', '601636', '601975', '603058', '603165', '603197', '603269', '603313', '603360', '603368', '603530', '603588', '603681', '605088', '605162', '605287', '688181', '688186', '688599', '688617', '688696', '688733']"
红利低波,0,50,"['000001', '000333', '000429', '000651', '000708', '002233', '002469', '002807', '002839', '002966', '600007', '600015', '600016', '600036', '600350', '600461', '600502', '600566', '600737', '600750', '600757', '600803', '600820', '600863', '600873', '600919', '600938', '600941', '601009', '601077', '601169', '601187', '601229', '601288', '601318', '601328', '601369', '601398', '601577', '601658', '601665', '601668', '601825', '601838', '601857', '601928', '601939', '601963', '601988', '601998']"
深主板50,0,50,"['000001', '000002', '000027', '000063', '000100', '000157', '000166', '000333', '000338', '000408', '000425', '000538', '000568', '000617', '000651', '000708', '000725', '000786', '000792', '000807', '000858', '000921', '000938', '000963', '000983', '000999', '001965', '001979', '002001', '002027', '002050', '002056', '002064', '002142', '002230', '002236', '002241', '002352', '002371', '002415', '002422', '002475', '002493', '002594', '002601', '002602', '002648', '002714', '002938', '003816']"
创业大盘,0,50,"['300014', '300015', '300033', '300058', '300059', '300115', '300124', '300136', '300207', '300223', '300251', '300255', '300274', '300308', '300316', '300390', '300394', '300395', '300408', '300413', '300418', '300433', '300442', '300450', '300454', '300475', '300476', '300502', '300548', '300604', '300628', '300661', '300750', '300751', '300757', '300760', '300765', '300803', '300857', '300866', '300919', '300979', '301165', '301200', '301236', '301269', '301358', '301377', '301656', '302132']"
创业板50,0,50,"['300014', '300015', '300017', '300033', '300058', '300059', '300073', '300115', '300124', '300136', '300207', '300223', '300251', '300255', '300274', '300308', '300316', '300339', '300346', '300373', '300390', '300394', '300395', '300408', '300418', '300433', '300442', '300450', '300458', '300474', '300475', '300476', '300496', '300502', '300548', '300604', '300620', '300724', '300748', '300750', '300751', '300757', '300760', '300763', '300782', '300803', '300857', '301236', '301308', '302132']"
创业200,0,200,"['300007', '300009', '300026', '300031', '300035', '300036', '300045', '300049', '300053', '300065', '300070', '300072', '300075', '300077', '300079', '300080', '300083', '300088', '300100', '300101', '300102', '300109', '300113', '300118', '300127', '300130', '300131', '300133', '300134', '300140', '300143', '300145', '300146', '300166', '300168', '300170', '300171', '300180', '300181', '300182', '300184', '300185', '300188', '300199', '300204', '300206', '300217', '300224', '300226', '300229', '300232', '300236', '300257', '300260', '300267', '300276', '300284', '300294', '300296', '300298', '300303', '300315', '300319', '300327', '300342', '300348', '300353', '300357', '300363', '300364', '300378', '300382', '300398', '300401', '300406', '300409', '300415', '300416', '300428', '300438', '300443', '300446', '300451', '300455', '300457', '300459', '300468', '300470', '300482', '300492', '300525', '300558', '300568', '300570', '300573', '300576', '300580', '300593', '300595', '300596', '300598', '300601', '300602', '300607', '300613', '300618', '300623', '300624', '300633', '300634', '300638', '300641', '300655', '300657', '300660', '300671', '300674', '300676', '300678', '300679', '300682', '300685', '300687', '300693', '300702', '300705', '300708', '300723', '300725', '300726', '300735', '300738', '300747', '300761', '300768', '300770', '300772', '300773', '300775', '300776', '300777', '300779', '300783', '300806', '300811', '300815', '300820', '300821', '300827', '300841', '300846', '300850', '300855', '300861', '300870', '300910', '300913', '300957', '301005', '301015', '301018', '301029', '301035', '301039', '301050', '301061', '301069', '301071', '301078', '301080', '301091', '301095', '301153', '301155', '301171', '301205', '301219', '301238', '301262', '301263', '301267', '301275', '301291', '301297', '301316', '301327', '301345', '301363', '301371', '301381', '301396', '301486', '301487', '301510', '301511', '301522', '301551', '301589', '301606', '301626']"
创业300,0,300,"['300001', '300002', '300003', '300007', '300009', '300012', '300014', '300015', '300017', '300024', '300026', '300031', '300033', '300035', '300036', '300037', '300045', '300049', '300053', '300054', '300058', '300059', '300065', '300070', '300072', '300073', '300075', '300077', '300079', '300080', '300083', '300088', '300100', '300101', '300102', '300109', '300113', '300115', '300118', '300122', '300124', '300127', '300130', '300131', '300133', '300134', '300136', '300140', '300143', '300144', '300145', '300146', '300166', '300168', '300170', '300171', '300180', '300181', '300182', '300184', '300185', '300188', '300199', '300204', '300206', '300207', '300217', '300223', '300224', '300226', '300229', '300232', '300236', '300251', '300253', '300255', '300257', '300260', '300267', '300274', '300276', '300284', '300285', '300294', '300296', '300298', '300303', '300308', '300315', '300316', '300319', '300327', '300339', '300342', '300346', '300347', '300348', '300353', '300357', '300363', '300364', '300373', '300378', '300382', '300383', '300390', '300394', '300395', '300398', '300401', '300406', '300408', '300409', '300413', '300415', '300416', '300418', '300428', '300432', '300433', '300438', '300442', '300443', '300446', '300450', '300451', '300454', '300455', '300457', '300458', '300459', '300468', '300470', '300474', '300475', '300476', '300482', '300487', '300492', '300496', '300498', '300502', '300525', '300548', '300558', '300567', '300568', '300570', '300573', '300576', '300580', '300593', '300595', '300596', '300598', '300601', '300602', '300604', '300607', '300613', '300618', '300620', '300623', '300624', '300627', '300628', '300633', '300634', '300638', '300641', '300655', '300657', '300660', '300661', '300666', '300671', '300672', '300674', '300676', '300677', '300678', '300679', '300682', '300685', '300687', '300693', '300699', '300702', '300705', '300708', '300718', '300723', '300724', '300725', '300726', '300735', '300738', '300747', '300748', '300750', '300751', '300757', '300759', '300760', '300761', '300763', '300765', '300768', '300770', '300772', '300773', '300775', '300776', '300777', '300779', '300782', '300783', '300803', '300806', '300811', '300815', '300820', '300821', '300827', '300832', '300841', '300846', '300850', '300855', '300857', '300861', '300866', '300870', '300888', '300896', '300910', '300913', '300919', '300953', '300957', '300972', '300979', '300999', '301005', '301015', '301018', '301029', '301035', '301039', '301050', '301061', '301069', '301071', '301078', '301080', '301091', '301095', '301153', '301155', '301165', '301171', '301200', '301205', '301217', '301219', '301236', '301238', '301262', '301263', '301267', '301269', '301275', '301291', '301297', '301301', '301308', '301316', '301327', '301345', '301358', '301363', '301371', '301377', '301381', '301396', '301486', '301487', '301498', '301510', '301511', '301522', '301526', '301536', '301550', '301551', '301589', '301606', '301611', '301626', '302132']"
创业小盘,0,400,"['300004', '300005', '300006', '300008', '300011', '300016', '300018', '300019', '300021', '300039', '300040', '300041', '300042', '300043', '300046', '300047', '300048', '300055', '300057', '300061', '300063', '300066', '300067', '300071', '300084', '300092', '300095', '300098', '300099', '300119', '300120', '300121', '300129', '300132', '300137', '300138', '300139', '300149', '300153', '300157', '300158', '300160', '300164', '300174', '300177', '300179', '300183', '300189', '300192', '300193', '300194', '300196', '300200', '300201', '300203', '300210', '300213', '300215', '300219', '300221', '300222', '300227', '300228', '300231', '300233', '300244', '300248', '300249', '300258', '300259', '300261', '300263', '300265', '300272', '300278', '300286', '300287', '300288', '300291', '300292', '300293', '300299', '300302', '300304', '300307', '300318', '300320', '300322', '300323', '300324', '300328', '300331', '300337', '300341', '300349', '300351', '300354', '300355', '300358', '300360', '300369', '300370', '300380', '300384', '300386', '300388', '300389', '300393', '300397', '300399', '300402', '300403', '300411', '300414', '300420', '300421', '300427', '300429', '300434', '300435', '300437', '300444', '300445', '300447', '300448', '300453', '300463', '300465', '300466', '300467', '300471', '300473', '300480', '300481', '300483', '300485', '300488', '300489', '300490', '300491', '300493', '300494', '300497', '300499', '300503', '300505', '300507', '300511', '300516', '300520', '300521', '300523', '300528', '300530', '300531', '300532', '300533', '300537', '300539', '300540', '300541', '300542', '300545', '300546', '300547', '300552', '300559', '300563', '300566', '300569', '300571', '300572', '300579', '300582', '300584', '300586', '300587', '300588', '300589', '300590', '300592', '300600', '300609', '300611', '300617', '300619', '300622', '300629', '300632', '300643', '300648', '300652', '300658', '300662', '300664', '300669', '300673', '300680', '300681', '300683', '300688', '300689', '300690', '300691', '300695', '300697', '300698', '300700', '300703', '300706', '300711', '300712', '300715', '300719', '300720', '300722', '300727', '300731', '300733', '300737', '300739', '300740', '300745', '300755', '300756', '300758', '300767', '300769', '300785', '300788', '300790', '300791', '300792', '300793', '300797', '300801', '300802', '300805', '300808', '300809', '300810', '300812', '300816', '300817', '300818', '300819', '300822', '300825', '300830', '300834', '300835', '300836', '300840', '300842', '300843', '300847', '300848', '300852', '300856', '300858', '300859', '300860', '300862', '300868', '300869', '300871', '300872', '300873', '300879', '300881', '300882', '300885', '300887', '300889', '300893', '300895', '300900', '300903', '300905', '300909', '300911', '300916', '300917', '300918', '300921', '300925', '300926', '300933', '300938', '300939', '300940', '300941', '300943', '300945', '300946', '300951', '300952', '300962', '300963', '300964', '300968', '300969', '300973', '300975', '300976', '300978', '300980', '300981', '300984', '300986', '300990', '300991', '300993', '300996', '300997', '301000', '301002', '301003', '301007', '301008', '301013', '301016', '301017', '301021', '301025', '301026', '301028', '301031', '301033', '301038', '301042', '301046', '301047', '301048', '301051', '301058', '301070', '301073', '301075', '301076', '301077', '301085', '301086', '301087', '301090', '301092', '301093', '301096', '301099', '301101', '301102', '301109', '301110', '301116', '301117', '301119', '301120', '301123', '301127', '301128', '301132', '301133', '301136', '301137', '301138', '301141', '301148', '301149', '301150', '301160', '301162', '301168', '301172', '301175', '301176', '301177', '301179', '301180', '301181', '301183', '301187', '301188', '301189', '301190', '301191', '301193', '301196', '301201', '301202', '301207', '301208', '301209', '301210', '301211', '301213', '301215', '301220', '301221', '301225', '301228']"
创业创新,0,100,"['300002', '300009', '300012', '300014', '300018', '300033', '300037', '300048', '300054', '300059', '300113', '300115', '300119', '300124', '300136', '300199', '300206', '300207', '300236', '300274', '300285', '300304', '300308', '300316', '300322', '300346', '300373', '300378', '300394', '300395', '300408', '300415', '300416', '300433', '300446', '300450', '300454', '300457', '300458', '300476', '300479', '300489', '300491', '300496', '300503', '300508', '300525', '300529', '300567', '300573', '300602', '300604', '300620', '300623', '300627', '300628', '300633', '300634', '300638', '300661', '300666', '300679', '300681', '300685', '300693', '300705', '300711', '300724', '300747', '300750', '300751', '300760', '300763', '300768', '300776', '300790', '300797', '300827', '300832', '300866', '300870', '300896', '301018', '301031', '301095', '301128', '301162', '301165', '301200', '301221', '301269', '301308', '301377', '301488', '301536', '301589', '301606', '301607', '301656', '302132']"
