date,open,high,low,close,volume,eob,pct_chg,ssf_s,ssf_m,ssf_m_20,ssf_l,grid_coupling
2025-02-11,7.99,8.04,7.86,7.96,35374270,2025-02-11 00:00:00+08:00,-0.62,7.484853717337275,9.539899047653703,11.447878857184444,8.008019284128789,7.884087106313339
2025-02-12,7.91,8.34,7.9,8.16,55958122,2025-02-12 00:00:00+08:00,2.51,7.52285983113104,9.48056324403516,11.376675892842192,8.047188743143712,7.884087106313339
2025-02-13,8.14,8.42,8.07,8.15,51616691,2025-02-13 00:00:00+08:00,-0.12,7.567807391723292,9.420382970642786,11.304459564771342,8.085483108756243,7.884087106313339
2025-02-14,8.09,8.15,7.96,7.98,34662212,2025-02-14 00:00:00+08:00,-2.09,7.617349827916288,9.359555086244258,11.23146610349311,8.122896764750543,7.884087106313339
2025-02-17,7.96,8.07,7.92,8.05,26659578,2025-02-17 00:00:00+08:00,0.88,7.669785020513746,9.298278025739942,11.15793363088793,8.159425952944762,7.884087106313339
2025-02-21,7.88,8.05,7.85,8.01,28427934,2025-02-21 00:00:00+08:00,1.26,7.861288846606371,9.05196396744352,10.862356760932224,8.2966036906899,8.362976520215419
2025-02-24,7.98,8.01,7.87,7.97,25339255,2025-02-24 00:00:00+08:00,-0.5,7.898888401054822,8.990877565748486,10.789053078898183,8.328650632093108,8.362976520215419
2025-02-25,7.9,8.03,7.85,7.9,20788209,2025-02-25 00:00:00+08:00,-0.88,7.930794972375619,8.930271548705397,10.716325858446476,8.359795298902087,8.362976520215419
2025-02-26,7.91,7.95,7.8,7.9,24576647,2025-02-26 00:00:00+08:00,0.0,7.95656767883718,8.870269108088532,10.644322929706238,8.390036675454475,8.362976520215419
2025-02-27,7.9,7.99,7.67,7.78,29093438,2025-02-27 00:00:00+08:00,-1.52,7.975245538547907,8.8109699141441,10.573163896972918,8.41937257584145,8.362976520215419
2025-02-28,7.73,7.76,7.53,7.55,23577893,2025-02-28 00:00:00+08:00,-2.96,7.984823750757939,8.752436861689338,10.502924234027205,8.447798015039037,8.362976520215419
2025-03-03,7.56,7.68,7.51,7.52,21785094,2025-03-03 00:00:00+08:00,-0.4,7.984304618152897,8.694726543980401,10.433671852776481,8.47530846256705,8.362976520215419
2025-03-04,7.5,7.74,7.47,7.72,26074146,2025-03-04 00:00:00+08:00,2.66,7.975209407862814,8.637920808176093,10.36550496981131,8.50190340059326,8.362976520215419
2025-03-05,7.74,7.78,7.58,7.65,20135251,2025-03-05 00:00:00+08:00,-0.91,7.958665468581419,8.582086920179929,10.298504304215914,8.527581962104724,8.362976520215419
2025-03-06,7.64,7.77,7.63,7.74,24292946,2025-03-06 00:00:00+08:00,1.18,7.936712397748043,8.52730033242645,10.232760398911738,8.552345440265457,8.362976520215419
2025-03-07,7.7,7.71,7.47,7.52,29179112,2025-03-07 00:00:00+08:00,-2.84,7.90958227963673,8.473601110026362,10.168321332031633,8.576192395929892,8.362976520215419
2025-03-10,7.52,7.62,7.47,7.54,19121706,2025-03-10 00:00:00+08:00,0.27,7.878129362812207,8.421029789123391,10.10523574694807,8.599122523027436,8.362976520215419
2025-03-11,7.47,7.52,7.43,7.5,16171777,2025-03-11 00:00:00+08:00,-0.53,7.843144470387997,8.369618794711828,10.043542553654193,8.62113567871207,8.362976520215419
2025-03-12,7.51,7.68,7.5,7.58,28210623,2025-03-12 00:00:00+08:00,1.07,7.80624361965031,8.31940926943583,9.983291123322996,8.642233747475066,8.362976520215419
2025-03-13,7.55,7.57,7.33,7.4,26591956,2025-03-13 00:00:00+08:00,-2.37,7.767553247122381,8.270414413400331,9.924497296080398,8.662416528506654,8.362976520215419
2025-03-14,7.4,7.52,7.36,7.52,21138125,2025-03-14 00:00:00+08:00,1.62,7.728460057684857,8.222662896483296,9.867195475779955,8.68168649669893,8.362976520215419
2025-03-17,7.56,7.6,7.49,7.51,16571987,2025-03-17 00:00:00+08:00,-0.13,7.690120243522867,8.176179294419157,9.811415153302988,8.700046670020445,8.362976520215419
2025-03-18,7.51,7.66,7.46,7.56,26092749,2025-03-18 00:00:00+08:00,0.67,7.653901559705557,8.13099237038664,9.757190844463967,8.71750152215469,8.362976520215419
2025-03-19,7.55,8.24,7.47,7.77,108964843,2025-03-19 00:00:00+08:00,2.78,7.6223947079705034,8.087156130270792,9.70458735632495,8.734059396666586,8.362976520215419
2025-03-20,7.75,8.55,7.64,8.55,143078699,2025-03-20 00:00:00+08:00,10.04,7.6030314576797196,8.044824499707854,9.653789399649424,8.749741145243355,8.362976520215419
2025-03-31,8.46,9.1,8.35,8.85,99062995,2025-03-31 00:00:00+08:00,2.67,7.890328208465626,7.798820374141164,9.358584448969397,8.836520052186042,9.278346054795344
2025-04-01,8.86,9.23,8.67,9.09,124036901,2025-04-01 00:00:00+08:00,2.71,7.988411097501822,7.772160748219741,9.326592897863689,8.84591140855881,9.278346054795344
2025-04-02,8.93,8.99,8.71,8.77,77955557,2025-04-02 00:00:00+08:00,-3.52,8.092994620302655,7.7478611230247605,9.297433347629712,8.854622711296052,9.278346054795344
2025-04-03,8.66,8.93,8.61,8.73,61166815,2025-04-03 00:00:00+08:00,-0.46,8.199521574339538,7.725945466167017,9.271134559400421,8.862674704346716,9.278346054795344
2025-04-07,8.19,8.32,7.86,7.86,46633415,2025-04-07 00:00:00+08:00,-9.97,8.29758661068928,7.706307586971395,9.247569104365674,8.870074328609606,9.278346054795344
2025-04-08,7.51,7.88,7.07,7.21,87816659,2025-04-08 00:00:00+08:00,-8.27,8.375344151797336,7.688754281839369,9.226505138207242,8.8768188060668,9.278346054795344
2025-04-09,7.04,7.52,6.49,7.37,73341422,2025-04-09 00:00:00+08:00,2.22,8.42698971377609,7.673125035871083,9.2077500430453,8.88290866954884,9.278346054795344
2025-04-10,7.5,7.68,7.39,7.49,56938757,2025-04-10 00:00:00+08:00,1.63,8.450981953515237,7.6592838862367385,9.191140663484086,8.88834699066072,9.278346054795344
2025-04-11,8.14,8.24,7.93,8.24,50516213,2025-04-11 00:00:00+08:00,10.01,8.453588288619526,7.647203257560589,9.176643909072707,8.893149014804303,9.278346054795344
2025-04-14,8.38,8.78,8.32,8.39,115052152,2025-04-14 00:00:00+08:00,1.82,8.441477108478214,7.63687135261922,9.164245623143064,8.897332266848498,9.278346054795344
2025-04-15,8.4,8.56,8.31,8.35,63839178,2025-04-15 00:00:00+08:00,-0.48,8.419823153974875,7.628264523287992,9.15391742794559,8.900913486079137,9.278346054795344
2025-04-16,8.35,8.38,7.9,7.95,60583807,2025-04-16 00:00:00+08:00,-4.79,8.389857131932867,7.621299294327505,9.145559153193005,8.903903080305994,9.278346054795344
2025-04-17,7.9,8.08,7.82,7.82,40333011,2025-04-17 00:00:00+08:00,-1.64,8.352205841655966,7.6158752974278885,9.139050356913465,8.906309612591707,9.278346054795344
2025-04-18,7.77,7.87,7.65,7.77,34444733,2025-04-18 00:00:00+08:00,-0.64,8.307709762986011,7.611888154342719,9.134265785211262,8.908141128725731,9.278346054795344
2025-04-21,7.75,7.85,7.71,7.85,27315881,2025-04-21 00:00:00+08:00,1.03,8.258312679067744,7.60924792519857,9.131097510238284,8.909407194190068,9.278346054795344
2025-04-22,7.85,7.9,7.68,7.69,35238837,2025-04-22 00:00:00+08:00,-2.04,8.204800805197792,7.607845257519968,9.12941430902396,8.910115101214751,9.278346054795344
2025-04-23,7.77,7.83,7.71,7.75,26369647,2025-04-23 00:00:00+08:00,0.78,8.148815601100713,7.607583678853095,9.129100414623712,8.910273385796472,9.278346054795344
